Ticket ID,Issue Description,Resolution,Resolution Time (Minutes),Issue Category,Issue Subcategory,Application Version,Issue Priority,Status,Resolution Method,Root Cause Analysis,User Sentiment,Knowledge Base Link,Created Date,Resolved Date,Proactive Alerts
10001,Unexpected error code 500 on login API,"Restored previous permissions, verified access",31,Data Processing,Connection Timeout,v1.5,High,In Progress,Automated,High volume during peak times,Satisfied,KB-029,2024-10-25 23:56,2024-10-26 00:27,Yes
10002,Frequent timeouts on report generation,Reset password; instructed user on password policy,19,Database Issues,Permission Issues,v1.5,Critical,In Progress,Automated,Load balancer misconfiguration,Neutral,KB-023,2024-10-15 06:49,2024-10-15 07:08,Yes
10003,Application UI layout broken on mobile devices,"Increased timeout settings, updated configuration files",35,Performance,Dashboard Performance,v1.3,Medium,Resolved,Automated,Incorrect password entry,Satisfied,KB-070,2024-10-20 01:44,2024-10-20 02:19,No
10004,Login API giving intermittent errors,Optimized query execution for faster response,47,UI/UX Issues,Connection Timeout,v1.2,Low,In Progress,Automated,Inefficient query configuration,Dissatisfied,KB-003,2024-10-27 07:28,2024-10-27 08:15,No
10005,Application UI layout broken on mobile devices,Optimized query execution for faster response,84,Database Issues,Connection Timeout,v1.4,Critical,Pending,Automated,Insufficient connection handling capacity,Neutral,KB-064,2024-10-01 09:32,2024-10-01 10:56,No
10006,"Error in batch processing job, causing delays","Rolled back deployment, corrected YAML configuration",52,Database Issues,Data Retrieval,v1.6,Critical,Resolved,Manual,CSS not optimized for mobile layout,Dissatisfied,KB-067,2024-10-21 08:58,2024-10-21 09:50,No
10007,Unexpected error code 500 on login API,Implemented caching for frequently accessed data,16,API Issues,Connection Timeout,v1.5,Critical,Pending,Manual,Load balancer misconfiguration,Dissatisfied,KB-057,2024-10-29 10:46,2024-10-29 11:02,Yes
10008,Database connection lost during high traffic,"Rolled back deployment, corrected YAML configuration",90,API Issues,Login API,v1.2,Critical,Pending,Automated,Insufficient connection handling capacity,Dissatisfied,KB-054,2024-10-20 12:09,2024-10-20 13:39,No
10009,Login API giving intermittent errors,"Adjusted load balancer settings, added redundancy",28,Performance,Batch Job Failure,v1.2,High,In Progress,Automated,Cache issues causing server errors,Dissatisfied,KB-012,2024-10-19 12:14,2024-10-19 12:42,No
10010,Database connection lost during high traffic,"Rolled back deployment, corrected YAML configuration",48,Database Issues,Data Retrieval,v1.2,High,Pending,Automated,Inefficient query configuration,Neutral,KB-069,2024-10-23 06:02,2024-10-23 06:50,No
10011,User can't access data after permission change,"Rolled back deployment, corrected YAML configuration",17,API Issues,Responsive Design,v1.4,Low,In Progress,Automated,Incorrect role configuration,Neutral,KB-009,2024-10-30 09:33,2024-10-30 09:50,No
10012,Users reporting slow load times on dashboard,"Updated CSS for responsive design, tested on multiple devices",25,API Issues,Batch Job Failure,v1.2,High,Resolved,Manual,High demand on server resources,Neutral,KB-044,2024-10-18 00:48,2024-10-18 01:13,No
10013,Error during deployment in CI/CD pipeline,Implemented caching for frequently accessed data,89,Performance,Batch Job Failure,v1.4,Low,In Progress,Manual,Default timeout too low for large reports,Neutral,KB-053,2024-10-09 08:02,2024-10-09 09:31,No
10014,Unexpected error code 500 on login API,Reset password; instructed user on password policy,34,Performance,Dashboard Performance,v1.5,Critical,Resolved,Automated,Cache issues causing server errors,Satisfied,KB-065,2024-10-23 03:36,2024-10-23 04:10,Yes
10015,Users reporting slow load times on dashboard,"Updated CSS for responsive design, tested on multiple devices",53,API Issues,Report Generation,v1.4,High,Resolved,Manual,Cache issues causing server errors,Satisfied,KB-055,2024-10-16 17:49,2024-10-16 18:42,No
10016,Frequent timeouts on report generation,"Adjusted load balancer settings, added redundancy",29,API Issues,Responsive Design,v1.4,Low,Resolved,Manual,High volume during peak times,Neutral,KB-010,2024-10-24 09:18,2024-10-24 09:47,No
10017,User can't access data after permission change,"Rolled back deployment, corrected YAML configuration",82,Data Access,Intermittent Errors,v1.5,Medium,In Progress,Automated,Cache issues causing server errors,Satisfied,KB-053,2024-10-12 01:05,2024-10-12 02:27,No
10018,Unexpected error code 500 on login API,"Adjusted load balancer settings, added redundancy",62,Configuration,Dashboard Performance,v1.2,Critical,Pending,Manual,Incorrect password entry,Dissatisfied,KB-034,2024-10-04 14:09,2024-10-04 15:11,No
10019,"Error in batch processing job, causing delays","Rolled back deployment, corrected YAML configuration",34,Database Issues,Data Retrieval,v1.2,Critical,Pending,Automated,Inefficient query configuration,Dissatisfied,KB-095,2024-10-28 12:34,2024-10-28 13:08,No
10020,Application slow response in data retrieval,"Restored previous permissions, verified access",23,Database Issues,Data Retrieval,v1.5,Critical,In Progress,Manual,High demand on server resources,Neutral,KB-097,2024-10-01 14:47,2024-10-01 15:10,No
10021,Frequent timeouts on report generation,"Increased timeout settings, updated configuration files",49,Data Access,Connection Timeout,v1.5,Critical,In Progress,Manual,CSS not optimized for mobile layout,Satisfied,KB-019,2024-10-05 13:36,2024-10-05 14:25,No
10022,Frequent timeouts on report generation,"Increased timeout settings, updated configuration files",83,Performance,Data Retrieval,v1.4,Critical,In Progress,Automated,Insufficient connection handling capacity,Neutral,KB-012,2024-10-26 17:00,2024-10-26 18:23,No
10023,Frequent timeouts on report generation,"Rolled back deployment, corrected YAML configuration",89,Data Access,Batch Job Failure,v1.6,Medium,Resolved,Manual,Incorrect password entry,Neutral,KB-021,2024-10-18 19:56,2024-10-18 21:25,No
10024,Unexpected error code 500 on login API,"Adjusted load balancer settings, added redundancy",79,API Issues,Report Generation,v1.6,Medium,Pending,Manual,Incorrect pipeline configuration,Neutral,KB-049,2024-10-02 20:24,2024-10-02 21:43,Yes
10025,Unexpected error code 500 on login API,Optimized query execution for faster response,65,API Issues,Data Retrieval,v1.3,Critical,In Progress,Automated,Cache issues causing server errors,Dissatisfied,KB-070,2024-10-28 23:53,2024-10-29 00:58,Yes
10026,Frequent timeouts on report generation,"Adjusted batch processing configurations, scheduled jobs off-peak",88,Performance,Responsive Design,v1.6,Medium,Pending,Manual,Incorrect pipeline configuration,Dissatisfied,KB-073,2024-10-03 07:39,2024-10-03 09:07,No
10027,User unable to login due to password error,"Adjusted batch processing configurations, scheduled jobs off-peak",50,API Issues,Permission Issues,v1.5,Low,Pending,Automated,Incorrect password entry,Neutral,KB-056,2024-10-01 15:38,2024-10-01 16:28,Yes
10028,Frequent timeouts on report generation,"Adjusted load balancer settings, added redundancy",49,Configuration,Dashboard Performance,v1.2,Low,In Progress,Automated,CSS not optimized for mobile layout,Satisfied,KB-075,2024-10-17 00:39,2024-10-17 01:28,No
10029,"Error in batch processing job, causing delays","Updated CSS for responsive design, tested on multiple devices",15,Login Issues,Batch Job Failure,v1.4,Medium,Resolved,Automated,Default timeout too low for large reports,Dissatisfied,KB-023,2024-10-28 02:43,2024-10-28 02:58,Yes
10030,User unable to login due to password error,"Adjusted batch processing configurations, scheduled jobs off-peak",53,Data Access,CI/CD Issues,v1.5,Low,In Progress,Automated,High volume during peak times,Neutral,KB-016,2024-10-24 14:33,2024-10-24 15:26,No
10031,Application slow response in data retrieval,"Updated CSS for responsive design, tested on multiple devices",72,Login Issues,Permission Issues,v1.2,Low,Resolved,Automated,Default timeout too low for large reports,Neutral,KB-028,2024-10-03 08:09,2024-10-03 09:21,Yes
10032,Application UI layout broken on mobile devices,Implemented caching for frequently accessed data,65,Data Access,Report Generation,v1.6,High,Pending,Manual,Default timeout too low for large reports,Satisfied,KB-040,2024-10-15 06:50,2024-10-15 07:55,No
10033,Application UI layout broken on mobile devices,"Increased timeout settings, updated configuration files",52,Performance,Permission Issues,v1.6,Critical,Resolved,Automated,Default timeout too low for large reports,Dissatisfied,KB-059,2024-10-17 22:15,2024-10-17 23:07,No
10034,User can't access data after permission change,Implemented caching for frequently accessed data,84,Login Issues,CI/CD Issues,v1.5,Medium,Pending,Manual,High demand on server resources,Satisfied,KB-005,2024-10-03 05:35,2024-10-03 06:59,No
10035,User can't access data after permission change,"Increased database connection pool, optimized query handling",74,Database Issues,Login API,v1.2,Low,Resolved,Automated,Incorrect pipeline configuration,Dissatisfied,KB-069,2024-10-13 06:00,2024-10-13 07:14,No
10036,Application slow response in data retrieval,"Restored previous permissions, verified access",35,Data Processing,Batch Job Failure,v1.6,High,In Progress,Manual,Incorrect pipeline configuration,Neutral,KB-018,2024-10-19 11:24,2024-10-19 11:59,Yes
10037,User can't access data after permission change,"Updated CSS for responsive design, tested on multiple devices",38,Data Access,Intermittent Errors,v1.5,High,Resolved,Automated,Load balancer misconfiguration,Satisfied,KB-096,2024-10-16 22:23,2024-10-16 23:01,No
10038,Application slow response in data retrieval,Reset password; instructed user on password policy,22,Configuration,Responsive Design,v1.2,High,In Progress,Manual,Incorrect pipeline configuration,Dissatisfied,KB-092,2024-10-06 02:28,2024-10-06 02:50,Yes
10039,Application slow response in data retrieval,Reset password; instructed user on password policy,85,Data Processing,Login API,v1.3,Medium,In Progress,Manual,CSS not optimized for mobile layout,Dissatisfied,KB-061,2024-10-05 20:34,2024-10-05 21:59,Yes
10040,User unable to login due to password error,Implemented caching for frequently accessed data,89,UI/UX Issues,Connection Timeout,v1.6,High,In Progress,Manual,High demand on server resources,Dissatisfied,KB-076,2024-10-11 09:45,2024-10-11 11:14,No
10041,Unexpected error code 500 on login API,"Adjusted load balancer settings, added redundancy",37,Data Processing,Batch Job Failure,v1.3,Critical,Resolved,Automated,CSS not optimized for mobile layout,Dissatisfied,KB-062,2024-10-08 21:29,2024-10-08 22:06,Yes
10042,Application UI layout broken on mobile devices,"Adjusted batch processing configurations, scheduled jobs off-peak",70,Data Processing,Connection Timeout,v1.4,Medium,Pending,Manual,Incorrect role configuration,Satisfied,KB-017,2024-10-24 07:50,2024-10-24 09:00,No
10043,Error during deployment in CI/CD pipeline,"Checked logs, cleared cache, restarted server",90,UI/UX Issues,Data Retrieval,v1.4,Critical,In Progress,Manual,Inefficient query configuration,Neutral,KB-070,2024-10-26 16:50,2024-10-26 18:20,Yes
10044,Application slow response in data retrieval,"Updated CSS for responsive design, tested on multiple devices",42,Data Processing,Intermittent Errors,v1.4,Low,Pending,Manual,High demand on server resources,Dissatisfied,KB-017,2024-10-12 12:25,2024-10-12 13:07,No
10045,Application UI layout broken on mobile devices,"Increased timeout settings, updated configuration files",28,Data Processing,Intermittent Errors,v1.3,Critical,In Progress,Automated,Load balancer misconfiguration,Dissatisfied,KB-037,2024-10-31 10:59,2024-10-31 11:27,Yes
10046,"Error in batch processing job, causing delays","Adjusted batch processing configurations, scheduled jobs off-peak",42,API Issues,Batch Job Failure,v1.3,High,In Progress,Automated,High volume during peak times,Neutral,KB-052,2024-10-13 20:08,2024-10-13 20:50,No
10047,User unable to login due to password error,"Adjusted load balancer settings, added redundancy",21,Performance,Batch Job Failure,v1.5,Medium,In Progress,Automated,High volume during peak times,Dissatisfied,KB-046,2024-10-07 10:33,2024-10-07 10:54,Yes
10048,Application slow response in data retrieval,Reset password; instructed user on password policy,55,Data Access,CI/CD Issues,v1.5,Medium,Resolved,Automated,Incorrect role configuration,Dissatisfied,KB-095,2024-10-27 13:02,2024-10-27 13:57,No
10049,Application UI layout broken on mobile devices,"Adjusted load balancer settings, added redundancy",42,Performance,CI/CD Issues,v1.4,Critical,Resolved,Manual,High demand on server resources,Dissatisfied,KB-097,2024-10-28 07:29,2024-10-28 08:11,Yes
10050,User can't access data after permission change,Optimized query execution for faster response,63,Performance,Intermittent Errors,v1.4,Low,In Progress,Manual,CSS not optimized for mobile layout,Satisfied,KB-077,2024-10-02 14:10,2024-10-02 15:13,Yes
10051,Application slow response in data retrieval,Reset password; instructed user on password policy,90,Database Issues,Report Generation,v1.5,Critical,Pending,Manual,Incorrect role configuration,Dissatisfied,KB-048,2024-10-19 03:16,2024-10-19 04:46,No
10052,Users reporting slow load times on dashboard,"Increased timeout settings, updated configuration files",66,Performance,Connection Timeout,v1.6,Low,In Progress,Manual,Load balancer misconfiguration,Neutral,KB-099,2024-10-18 15:53,2024-10-18 16:59,No
10053,User can't access data after permission change,"Adjusted load balancer settings, added redundancy",90,Login Issues,Intermittent Errors,v1.2,Low,In Progress,Manual,Incorrect role configuration,Neutral,KB-001,2024-10-26 06:12,2024-10-26 07:42,No
10054,Unexpected error code 500 on login API,"Checked logs, cleared cache, restarted server",53,Performance,Login API,v1.5,Critical,Resolved,Manual,High volume during peak times,Satisfied,KB-006,2024-10-18 12:51,2024-10-18 13:44,No
10055,User can't access data after permission change,"Checked logs, cleared cache, restarted server",27,Performance,Batch Job Failure,v1.5,Low,Resolved,Manual,CSS not optimized for mobile layout,Dissatisfied,KB-068,2024-10-31 13:16,2024-10-31 13:43,No
10056,Users reporting slow load times on dashboard,"Checked logs, cleared cache, restarted server",79,Data Processing,Password Reset,v1.2,Critical,Resolved,Manual,High demand on server resources,Dissatisfied,KB-008,2024-10-09 16:02,2024-10-09 17:21,Yes
10057,Login API giving intermittent errors,"Increased timeout settings, updated configuration files",46,Data Processing,Permission Issues,v1.6,Low,Pending,Automated,Load balancer misconfiguration,Satisfied,KB-044,2024-10-04 10:26,2024-10-04 11:12,Yes
10058,Users reporting slow load times on dashboard,"Adjusted load balancer settings, added redundancy",64,Performance,Password Reset,v1.4,Medium,Pending,Manual,Incorrect password entry,Dissatisfied,KB-010,2024-10-04 06:01,2024-10-04 07:05,Yes
10059,Login API giving intermittent errors,"Updated CSS for responsive design, tested on multiple devices",16,Performance,Password Reset,v1.4,Low,Pending,Manual,Default timeout too low for large reports,Neutral,KB-079,2024-10-10 12:30,2024-10-10 12:46,No
10060,Database connection lost during high traffic,Reset password; instructed user on password policy,24,Performance,Responsive Design,v1.5,Low,In Progress,Automated,Load balancer misconfiguration,Neutral,KB-027,2024-10-12 18:33,2024-10-12 18:57,No
10061,Database connection lost during high traffic,"Adjusted load balancer settings, added redundancy",51,Data Access,Permission Issues,v1.5,Medium,In Progress,Manual,Incorrect pipeline configuration,Dissatisfied,KB-022,2024-10-24 06:16,2024-10-24 07:07,Yes
10062,Users reporting slow load times on dashboard,"Rolled back deployment, corrected YAML configuration",17,Performance,Report Generation,v1.2,Critical,Resolved,Automated,CSS not optimized for mobile layout,Neutral,KB-004,2024-10-02 18:36,2024-10-02 18:53,No
10063,Error during deployment in CI/CD pipeline,Implemented caching for frequently accessed data,82,Configuration,Data Retrieval,v1.2,High,Pending,Manual,Incorrect role configuration,Dissatisfied,KB-052,2024-10-28 00:03,2024-10-28 01:25,Yes
10064,User unable to login due to password error,"Restored previous permissions, verified access",49,Data Processing,Connection Timeout,v1.2,Medium,Pending,Automated,High volume during peak times,Neutral,KB-074,2024-10-15 05:59,2024-10-15 06:48,No
10065,Frequent timeouts on report generation,"Rolled back deployment, corrected YAML configuration",46,Database Issues,Permission Issues,v1.4,Medium,Resolved,Automated,Incorrect pipeline configuration,Neutral,KB-091,2024-10-03 12:38,2024-10-03 13:24,No
10066,Unexpected error code 500 on login API,Implemented caching for frequently accessed data,19,Performance,CI/CD Issues,v1.6,Medium,In Progress,Manual,Cache issues causing server errors,Neutral,KB-046,2024-10-01 20:15,2024-10-01 20:34,Yes
10067,"Error in batch processing job, causing delays","Increased database connection pool, optimized query handling",58,Configuration,Data Retrieval,v1.4,Low,Resolved,Automated,Incorrect pipeline configuration,Satisfied,KB-048,2024-10-31 03:16,2024-10-31 04:14,No
10068,"Error in batch processing job, causing delays",Implemented caching for frequently accessed data,73,Performance,Batch Job Failure,v1.5,High,Pending,Manual,Insufficient connection handling capacity,Dissatisfied,KB-065,2024-10-12 05:58,2024-10-12 07:11,Yes
10069,Frequent timeouts on report generation,"Adjusted load balancer settings, added redundancy",32,UI/UX Issues,CI/CD Issues,v1.2,Medium,Resolved,Manual,High demand on server resources,Dissatisfied,KB-022,2024-10-18 21:11,2024-10-18 21:43,No
10070,User unable to login due to password error,"Rolled back deployment, corrected YAML configuration",60,Data Access,Login API,v1.5,Critical,Resolved,Automated,High volume during peak times,Satisfied,KB-067,2024-10-14 06:54,2024-10-14 07:54,No
10071,Users reporting slow load times on dashboard,"Checked logs, cleared cache, restarted server",71,Configuration,Connection Timeout,v1.2,Low,In Progress,Manual,Inefficient query configuration,Neutral,KB-096,2024-10-03 02:34,2024-10-03 03:45,Yes
10072,Application slow response in data retrieval,"Adjusted load balancer settings, added redundancy",41,API Issues,Report Generation,v1.2,Medium,Pending,Manual,Incorrect role configuration,Dissatisfied,KB-046,2024-10-27 18:14,2024-10-27 18:55,No
10073,User can't access data after permission change,Optimized query execution for faster response,22,Performance,Password Reset,v1.3,High,Resolved,Manual,Insufficient connection handling capacity,Dissatisfied,KB-042,2024-10-02 19:07,2024-10-02 19:29,No
10074,Error during deployment in CI/CD pipeline,"Rolled back deployment, corrected YAML configuration",72,Performance,CI/CD Issues,v1.6,Low,Resolved,Manual,Load balancer misconfiguration,Dissatisfied,KB-096,2024-10-03 19:28,2024-10-03 20:40,Yes
10075,User unable to login due to password error,"Restored previous permissions, verified access",35,Performance,CI/CD Issues,v1.5,Low,Resolved,Manual,Incorrect password entry,Satisfied,KB-057,2024-10-27 00:38,2024-10-27 01:13,No
10076,Users reporting slow load times on dashboard,"Updated CSS for responsive design, tested on multiple devices",27,API Issues,Permission Issues,v1.3,High,Resolved,Automated,High volume during peak times,Dissatisfied,KB-024,2024-10-28 10:30,2024-10-28 10:57,Yes
10077,Frequent timeouts on report generation,"Updated CSS for responsive design, tested on multiple devices",28,Database Issues,Password Reset,v1.6,High,In Progress,Automated,High volume during peak times,Satisfied,KB-029,2024-10-11 01:26,2024-10-11 01:54,Yes
10078,User unable to login due to password error,Optimized query execution for faster response,23,Performance,Login API,v1.5,High,In Progress,Automated,Incorrect role configuration,Dissatisfied,KB-030,2024-10-05 01:33,2024-10-05 01:56,Yes
10079,User unable to login due to password error,"Increased timeout settings, updated configuration files",55,Data Processing,Dashboard Performance,v1.4,Critical,Pending,Manual,Incorrect role configuration,Dissatisfied,KB-087,2024-10-23 17:44,2024-10-23 18:39,Yes
10080,User unable to login due to password error,"Increased timeout settings, updated configuration files",60,API Issues,CI/CD Issues,v1.2,Critical,In Progress,Automated,Load balancer misconfiguration,Neutral,KB-092,2024-10-05 00:17,2024-10-05 01:17,No
10081,Database connection lost during high traffic,"Adjusted batch processing configurations, scheduled jobs off-peak",34,API Issues,Batch Job Failure,v1.3,Medium,Pending,Manual,Load balancer misconfiguration,Dissatisfied,KB-090,2024-10-15 06:17,2024-10-15 06:51,Yes
10082,"Error in batch processing job, causing delays","Checked logs, cleared cache, restarted server",53,Data Access,Responsive Design,v1.2,Low,Resolved,Manual,High volume during peak times,Satisfied,KB-041,2024-10-12 08:49,2024-10-12 09:42,Yes
10083,Unexpected error code 500 on login API,"Updated CSS for responsive design, tested on multiple devices",27,Login Issues,Login API,v1.6,Medium,Resolved,Manual,Cache issues causing server errors,Dissatisfied,KB-073,2024-10-27 09:13,2024-10-27 09:40,Yes
10084,Error during deployment in CI/CD pipeline,Optimized query execution for faster response,33,API Issues,Permission Issues,v1.6,Low,In Progress,Automated,Incorrect password entry,Dissatisfied,KB-060,2024-10-05 06:02,2024-10-05 06:35,Yes
10085,Users reporting slow load times on dashboard,"Rolled back deployment, corrected YAML configuration",68,Data Processing,Report Generation,v1.6,High,Resolved,Automated,Inefficient query configuration,Neutral,KB-026,2024-10-11 19:12,2024-10-11 20:20,No
10086,User can't access data after permission change,"Adjusted load balancer settings, added redundancy",37,Configuration,Login API,v1.4,Low,Resolved,Manual,High volume during peak times,Satisfied,KB-004,2024-10-11 14:38,2024-10-11 15:15,No
10087,Error during deployment in CI/CD pipeline,"Increased database connection pool, optimized query handling",65,Data Access,Report Generation,v1.5,Low,Pending,Manual,Incorrect role configuration,Neutral,KB-045,2024-10-08 20:48,2024-10-08 21:53,No
10088,Database connection lost during high traffic,"Restored previous permissions, verified access",80,Performance,Permission Issues,v1.2,Critical,Pending,Manual,Insufficient connection handling capacity,Satisfied,KB-060,2024-10-22 11:36,2024-10-22 12:56,No
10089,Application slow response in data retrieval,"Increased timeout settings, updated configuration files",41,Performance,Batch Job Failure,v1.4,Low,In Progress,Automated,Incorrect password entry,Dissatisfied,KB-051,2024-10-28 13:39,2024-10-28 14:20,No
10090,User unable to login due to password error,Optimized query execution for faster response,73,API Issues,Batch Job Failure,v1.3,Critical,Resolved,Automated,Insufficient connection handling capacity,Dissatisfied,KB-005,2024-10-23 23:50,2024-10-24 01:03,Yes
10091,Frequent timeouts on report generation,"Adjusted batch processing configurations, scheduled jobs off-peak",62,Data Processing,Dashboard Performance,v1.5,Low,In Progress,Automated,Default timeout too low for large reports,Satisfied,KB-059,2024-10-10 00:01,2024-10-10 01:03,Yes
10092,Frequent timeouts on report generation,"Increased timeout settings, updated configuration files",54,API Issues,Login API,v1.3,Critical,Resolved,Manual,Inefficient query configuration,Dissatisfied,KB-032,2024-10-04 04:30,2024-10-04 05:24,Yes
10093,Unexpected error code 500 on login API,"Restored previous permissions, verified access",53,UI/UX Issues,Connection Timeout,v1.4,Medium,Pending,Automated,Incorrect password entry,Neutral,KB-054,2024-10-15 21:23,2024-10-15 22:16,No
10094,Unexpected error code 500 on login API,"Adjusted load balancer settings, added redundancy",56,Data Access,Password Reset,v1.5,Low,Pending,Manual,Incorrect password entry,Neutral,KB-006,2024-10-04 18:41,2024-10-04 19:37,Yes
10095,User can't access data after permission change,"Increased database connection pool, optimized query handling",76,Performance,CI/CD Issues,v1.4,Medium,Pending,Automated,Incorrect role configuration,Satisfied,KB-005,2024-10-26 02:20,2024-10-26 03:36,No
10096,Login API giving intermittent errors,Implemented caching for frequently accessed data,58,Performance,Dashboard Performance,v1.6,Low,Pending,Manual,High demand on server resources,Neutral,KB-032,2024-10-22 00:49,2024-10-22 01:47,No
10097,Application UI layout broken on mobile devices,"Rolled back deployment, corrected YAML configuration",18,Data Processing,Login API,v1.3,Medium,In Progress,Automated,Load balancer misconfiguration,Neutral,KB-037,2024-10-29 13:51,2024-10-29 14:09,No
10098,Error during deployment in CI/CD pipeline,"Increased database connection pool, optimized query handling",72,Performance,CI/CD Issues,v1.5,Low,Resolved,Automated,Incorrect pipeline configuration,Neutral,KB-095,2024-10-24 08:26,2024-10-24 09:38,No
10099,User can't access data after permission change,Reset password; instructed user on password policy,84,API Issues,CI/CD Issues,v1.2,Critical,In Progress,Automated,Incorrect password entry,Neutral,KB-096,2024-10-11 11:31,2024-10-11 12:55,No
10100,Database connection lost during high traffic,"Adjusted load balancer settings, added redundancy",21,UI/UX Issues,Permission Issues,v1.3,High,In Progress,Manual,High volume during peak times,Satisfied,KB-094,2024-10-06 16:09,2024-10-06 16:30,Yes
